neighbourhood_group,latitude,longitude,average_price
Allerton,40.86466,-73.85709,$92.81 
Arden Heights,40.56033,-74.18259,$119.20 
Arrochar,40.59251,-74.06479,$125.05 
Arverne,40.59783,-73.80158,$249.07 
Astoria,40.75384,-73.91433,$97.30 
Bath Beach,40.60979,-74.01121,$92.79 
Battery Park City,40.71012,-74.01504,$237.17 
Bay Ridge,40.6339,-74.02035,$99.52 
Bay Terrace,40.78645,-73.77958,$110.20 
"Bay Terrace, Staten Island",40.55105,-74.1366,$55.00 
Baychester,40.87223,-73.84335,$81.75 
Bayside,40.76887,-73.77043,$138.33 
Bayswater,40.61339,-73.76575,$98.44 
Bedford-Stuyvesant,40.68688,-73.95596,$106.78 
Belle Harbor,40.57592,-73.84823,$216.75 
Bellerose,40.72401,-73.72901,$88.70 
Belmont,40.85487,-73.88711,$62.33 
Bensonhurst,40.61922,-73.99399,$73.12 
Bergen Beach,40.6235,-73.91056,$118.31 
Boerum Hill,40.68559,-73.98094,$189.84 
Borough Park,40.63324,-73.99461,$67.84 
Breezy Point,40.56635,-73.87032,$228.67 
Briarwood,40.71151,-73.81561,$366.16 
Brighton Beach,40.58147,-73.96726,$120.64 
Bronxdale,40.85667,-73.86543,$62.67 
Brooklyn Heights,40.69723,-73.99268,$201.11 
Brownsville,40.66792,-73.92538,$102.48 
Bull's Head,40.60295,-74.17117,$49.67 
Bushwick,40.70032,-73.9383,$83.27 
Cambria Heights,40.68891,-73.73531,$87.87 
Canarsie,40.64298,-73.89035,$103.34 
Carroll Gardens,40.67967,-74.00154,$174.19 
Castle Hill,40.81518,-73.84758,$71.67 
Castleton Corners,40.61363,-74.12152,$117.00 
Chelsea,40.74395,-73.99451,$216.91 
Chinatown,40.71344,-73.99037,$138.67 
City Island,40.85235,-73.78873,$118.25 
Civic Center,40.71167,-74.00832,$159.44 
Claremont Village,40.84192,-73.91108,$83.23 
Clason Point,40.81309,-73.85514,$90.04 
Clifton,40.62318,-74.07848,$107.33 
Clinton Hill,40.68514,-73.95976,$175.16 
Cobble Hill,40.6857,-73.99183,$191.35 
College Point,40.78417,-73.83875,$94.39 
Columbia St,40.68636,-74.00345,$173.46 
Concord,40.60183,-74.08953,$68.75 
Concourse,40.82822,-73.92439,$84.81 
Concourse Village,40.83288,-73.91834,$67.76 
Coney Island,40.57476,-74.00101,$94.53 
Co-op City,40.86247,-73.82576,$61.33 
Corona,40.74109,-73.86088,$70.04 
Crown Heights,40.6778,-73.94339,$112.08 
Cypress Hills,40.67855,-73.8896,$160.27 
Ditmars Steinway,40.77185,-73.90502,$98.03 
Dongan Hills,40.58115,-74.09182,$115.80 
Douglaston,40.75676,-73.72981,$158.56 
Downtown Brooklyn,40.69594,-73.98375,$149.71 
DUMBO,40.70434,-73.98989,$189.70 
Dyker Heights,40.61956,-74.00979,$88.24 
East Elmhurst,40.76356,-73.8885,$82.52 
East Flatbush,40.651,-73.94886,$86.54 
East Harlem,40.78962,-73.94802,$136.63 
East Morrisania,40.83269,-73.88726,$93.82 
East New York,40.67497,-73.87305,$95.30 
East Village,40.7292,-73.98542,$174.72 
Eastchester,40.881,-73.83511,$158.40 
Edenwald,40.88534,-73.83434,$103.75 
Edgemere,40.59606,-73.77882,$96.50 
Elmhurst,40.7347,-73.88066,$64.59 
Eltingville,40.54268,-74.16254,$156.50 
Emerson Hill,40.60742,-74.14388,$73.60 
Far Rockaway,40.59642,-73.75606,$148.79 
Fieldston,40.88777,-73.9059,$281.50 
Financial District,40.70284,-74.01136,$335.39 
Flatbush,40.63702,-73.96327,$91.57 
Flatiron District,40.7403,-73.98498,$367.42 
Flatlands,40.63188,-73.93248,$99.71 
Flushing,40.74028,-73.83168,$96.70 
Fordham,40.86705,-73.88545,$77.04 
Forest Hills,40.70925,-73.85262,$122.36 
Fort Greene,40.69121,-73.97277,$154.84 
Fort Hamilton,40.61927,-74.0307,$112.67 
Fort Wadsworth,40.59546,-74.06092,$800.00 
Fresh Meadows,40.75037,-73.79154,$136.35 
Gerritsen Beach,40.58884,-73.92378,$100.00 
Glendale,40.70538,-73.89448,$61.72 
Gowanus,40.68157,-73.98989,$162.54 
Gramercy,40.73476,-73.98452,$193.51 
Graniteville,40.62109,-74.16534,$76.50 
Grant City,40.57879,-74.11043,$58.40 
Gravesend,40.60452,-73.97103,$93.06 
Great Kills,40.5455,-74.14829,$68.33 
Greenpoint,40.73506,-73.95392,$139.21 
Greenwich Village,40.73194,-73.99474,$247.99 
Grymes Hill,40.61201,-74.09513,$139.50 
Harlem,40.81305,-73.95466,$117.91 
Hell's Kitchen,40.76489,-73.98493,$201.84 
Highbridge,40.83232,-73.93184,$76.90 
Hollis,40.71368,-73.76337,$78.00 
Holliswood,40.72402,-73.76828,$171.00 
Howard Beach,40.6647,-73.85577,$142.96 
Howland Hook,40.63245,-74.17065,$164.75 
Huguenot,40.53871,-74.16966,$180.00 
Hunts Point,40.81395,-73.88675,$56.58 
Inwood,40.86754,-73.92639,$78.36 
Jackson Heights,40.75243,-73.87843,$79.58 
Jamaica,40.67117,-73.76576,$91.92 
Jamaica Estates,40.71873,-73.80324,$233.23 
Jamaica Hills,40.71245,-73.79806,$83.17 
Kensington,40.64277,-73.97296,$97.84 
Kew Gardens,40.70947,-73.82922,$108.18 
Kew Gardens Hills,40.72891,-73.82588,$114.24 
Kingsbridge,40.87207,-73.90193,$92.32 
Kips Bay,40.73961,-73.98074,$189.25 
Laurelton,40.66943,-73.74778,$84.68 
Lighthouse Hill,40.57718,-74.13981,$147.50 
Little Italy,40.71961,-73.9954,$221.19 
Little Neck,40.76212,-73.71928,$88.50 
Long Island City,40.74771,-73.9474,$141.49 
Longwood,40.81611,-73.89909,$95.63 
Lower East Side,40.71401,-73.98917,$196.62 
Manhattan Beach,40.5777,-73.93988,$115.73 
Marble Hill,40.87495,-73.90982,$89.69 
